no_training:10	no_test:140file identifier	 training data
2	-324.551643
29	-344.425700
86	-190.624631
13	-360.526646
145	-310.929561
51	-283.168740
96	-375.359188
127	-322.216227
133	-271.642927
121	-361.711483

file identifier 	 test data 	 predicted
17	-345.612580	-342.125764
142	-307.594137	-316.531147
111	-344.470970	-343.597365
116	-346.831175	-342.895473
39	-340.687222	-305.030995
101	-324.507184	-313.747206
35	-343.197784	-338.827301
61	-308.462933	-303.078073
9	-344.468531	-339.056423
32	-287.509315	-241.899410
1	-360.499843	-362.597781
143	-302.355005	-227.807797
119	-327.012568	-320.138497
8	-272.545439	-200.378227
41	-345.649146	-342.008762
33	-264.504487	-246.245001
95	-351.666551	-111.581977
146	-377.813815	-368.568715
113	-360.478880	-362.972069
23	-304.679494	-228.189004
55	-335.683118	-143.238732
37	-381.587333	-248.322150
109	-158.340943	-167.856738
27	-324.573866	-323.151401
110	-346.869123	-336.169259
43	-319.572842	-179.103436
125	-228.992613	-240.984189
25	-309.712046	-307.010773
131	-345.603479	-341.469422
90	-327.017113	-319.606387
108	-345.614707	-342.605536
63	-287.377993	-240.192515
76	-325.685245	-321.236946
31	-359.310420	-360.582651
47	-247.225618	-255.312714
71	-346.864282	-338.311392
50	-357.934562	-243.021386
144	-271.323089	-199.794942
139	-338.257996	-304.895065
140	-309.676929	-306.123376
88	-345.655534	-343.883815
16	-273.806874	-200.545419
124	-271.621961	-271.374694
80	-392.672883	-280.061983
58	-304.683044	-225.968106
74	-310.918822	-311.219466
98	-303.553222	-221.957007
114	-361.772743	-358.019601
11	-356.688211	-233.870087
118	-352.905052	-114.850538
115	-356.682218	-246.772715
6	-345.687671	-344.108791
132	-308.469258	-306.217400
72	-325.720699	-323.136608
52	-345.627428	-338.782679
34	-306.355655	-316.832739
62	-309.677968	-305.259212
135	-301.341304	-285.668440
38	-309.736982	-308.125682
93	-340.615011	-294.522050
103	-291.024232	-240.308392
106	-362.952198	-359.187527
99	-336.813559	-140.657117
128	-303.785832	-281.313722
15	-288.542593	-241.351720
102	-307.230370	-309.608877
44	-309.735489	-302.988399
123	-269.263476	-272.408835
48	-304.689512	-228.302811
134	-308.516376	-313.266739
59	-248.430371	-254.875166
46	-372.766726	-198.101247
100	-361.702143	-357.217830
19	-309.720734	-310.628328
120	-323.345161	-316.851085
136	-343.240623	-340.407540
30	-325.717105	-325.174334
56	-345.599154	-344.359811
92	-301.343578	-285.301286
89	-249.259410	-229.279569
84	-345.610574	-339.988745
24	-345.608180	-342.563848
18	-309.719641	-307.205567
54	-195.186228	-188.065007
129	-308.512092	-306.212707
107	-307.580090	-315.840217
14	-302.238859	-227.587580
12	-377.816587	-365.595396
42	-376.564691	-373.817282
22	-324.575190	-322.993047
83	-344.434906	-343.188351
20	-270.370102	-276.574700
0	-351.615495	-109.686734
137	-287.440932	-240.365123
26	-301.359287	-285.000270
148	-345.629933	-342.642816
40	-344.338878	-341.084428
5	-351.628383	-109.535392
112	-340.648166	-308.165964
68	-286.519735	-289.972805
81	-318.390876	-184.149984
73	-233.293627	-214.354687
4	-270.439280	-271.702550
36	-344.382282	-341.558277
75	-381.566310	-253.552815
10	-344.512001	-341.198944
60	-382.768883	-250.618371
45	-266.615452	-216.824211
7	-309.722879	-301.727779
138	-362.875317	-359.162636
85	-272.550580	-202.068340
82	-309.701458	-313.590899
53	-285.330157	-291.842329
104	-360.574432	-359.371894
78	-270.472470	-271.164773
94	-362.955075	-361.735179
77	-348.062001	-338.969950
67	-172.006141	-181.522984
70	-346.874234	-341.523793
28	-324.630221	-321.155337
97	-286.495035	-288.380921
117	-211.295163	-204.986885
147	-345.615452	-343.006970
21	-278.059333	-187.560331
91	-275.011437	-201.205095
141	-287.734664	-286.285612
87	-490.834069	-45.204097
3	-346.838279	-340.342312
57	-345.635513	-336.450655
105	-309.727110	-306.073840
79	-324.605178	-319.168920
49	-396.507540	-262.274105
66	-337.302324	-320.640522
122	-339.419649	-304.368486
64	-362.945802	-362.183136
69	-265.441614	-217.299995
130	-274.988525	-201.564034
65	-312.125621	-302.134866
126	-274.991042	-200.117819
149	-380.415966	-251.337483
