no_training:25	no_test:125file identifier	 training data
14	-302.238859
80	-392.672883
140	-309.676929
91	-275.011437
102	-307.230370
77	-348.062001
143	-302.355005
36	-344.382282
129	-308.512092
100	-361.702143
110	-346.869123
112	-340.648166
2	-324.551643
90	-327.017113
34	-306.355655
136	-343.240623
0	-351.615495
27	-324.573866
17	-345.612580
25	-309.712046
58	-304.683044
76	-325.685245
4	-270.439280
62	-309.677968
115	-356.682218

file identifier 	 test data 	 predicted
133	-271.642927	-272.401722
79	-324.605178	-323.372273
43	-319.572842	-318.675069
78	-270.472470	-271.896937
121	-361.711483	-359.010343
55	-335.683118	-323.887839
11	-356.688211	-363.025413
144	-271.323089	-271.418047
50	-357.934562	-366.202401
105	-309.727110	-309.529086
128	-303.785832	-342.441150
20	-270.370102	-272.248154
49	-396.507540	-273.681838
127	-322.216227	-319.373099
15	-288.542593	-308.041607
12	-377.816587	-375.878586
10	-344.512001	-345.773886
145	-310.929561	-309.685177
111	-344.470970	-343.412743
126	-274.991042	-273.921122
45	-266.615452	-307.022090
48	-304.689512	-304.419937
103	-291.024232	-310.381485
54	-195.186228	-253.439352
64	-362.945802	-359.714494
97	-286.495035	-312.869830
65	-312.125621	-308.926272
86	-190.624631	-251.218794
46	-372.766726	-347.104064
101	-324.507184	-322.826377
92	-301.343578	-337.777916
146	-377.813815	-380.449000
67	-172.006141	-283.140232
85	-272.550580	-275.117322
57	-345.635513	-344.779060
147	-345.615452	-347.210908
125	-228.992613	-292.610097
137	-287.440932	-306.268646
30	-325.717105	-328.099143
75	-381.566310	-253.563555
37	-381.587333	-251.503367
135	-301.341304	-338.984988
94	-362.955075	-359.410774
22	-324.575190	-323.433656
42	-376.564691	-372.553594
118	-352.905052	-347.025701
139	-338.257996	-335.890866
113	-360.478880	-357.601578
84	-345.610574	-345.140002
9	-344.468531	-343.987648
7	-309.722879	-306.774967
130	-274.988525	-275.340736
70	-346.874234	-344.510238
8	-272.545439	-273.618059
141	-287.734664	-315.654868
106	-362.952198	-359.678199
74	-310.918822	-310.987364
120	-323.345161	-322.795795
56	-345.599154	-346.902699
138	-362.875317	-354.856988
96	-375.359188	-368.843741
73	-233.293627	-279.138473
124	-271.621961	-273.874089
59	-248.430371	-312.356574
5	-351.628383	-351.258442
117	-211.295163	-282.661127
33	-264.504487	-335.177003
24	-345.608180	-347.454990
28	-324.630221	-323.265456
148	-345.629933	-347.465507
149	-380.415966	-250.154670
40	-344.338878	-344.632548
119	-327.012568	-329.063302
89	-249.259410	-292.907245
95	-351.666551	-348.483190
109	-158.340943	-242.592438
16	-273.806874	-273.749290
134	-308.516376	-310.202277
31	-359.310420	-351.523888
93	-340.615011	-326.419821
142	-307.594137	-311.365312
122	-339.419649	-337.470142
6	-345.687671	-346.051375
98	-303.553222	-300.083035
81	-318.390876	-315.300114
18	-309.719641	-310.046029
63	-287.377993	-305.159278
71	-346.864282	-347.698241
99	-336.813559	-331.685222
116	-346.831175	-345.643017
44	-309.735489	-307.635785
21	-278.059333	-318.034123
3	-346.838279	-348.687867
41	-345.649146	-347.091583
83	-344.434906	-344.924929
88	-345.655534	-346.399323
38	-309.736982	-311.006415
108	-345.614707	-345.754483
68	-286.519735	-312.484542
132	-308.469258	-309.785961
23	-304.679494	-304.527841
131	-345.603479	-341.861715
69	-265.441614	-302.457869
1	-360.499843	-358.317152
35	-343.197784	-336.968197
104	-360.574432	-358.377572
39	-340.687222	-334.656643
114	-361.772743	-358.458123
53	-285.330157	-313.491576
87	-490.834069	-59.383555
60	-382.768883	-252.716448
19	-309.720734	-310.306657
82	-309.701458	-311.686889
47	-247.225618	-310.814411
13	-360.526646	-360.946275
61	-308.462933	-307.987964
32	-287.509315	-305.556390
52	-345.627428	-345.323827
72	-325.720699	-326.858505
123	-269.263476	-268.913271
66	-337.302324	-364.919930
107	-307.580090	-310.424515
51	-283.168740	-340.577582
26	-301.359287	-340.920407
29	-344.425700	-345.351329
