no_training:5	no_test:3988file identifier	 training data
344	-343.305175
528	-288.538806
487	-307.223588
3615	-210.071468
3390	-309.736085

file identifier 	 test data 	 predicted
1995	-362.946041	-271.497785
2049	-344.463291	-242.128733
421	-288.627624	-278.999101
1932	-310.911279	-277.169156
1079	-287.347000	-284.345240
2936	-324.504178	-291.978486
1731	-381.565314	-218.468079
1796	-307.536544	-241.076985
3164	-344.379764	-266.026689
905	-360.513668	-229.195368
979	-309.713440	-262.014610
1895	-324.551432	-287.060053
699	-307.243079	-291.549133
1717	-345.603646	-265.036818
1267	-341.841438	-247.641480
3664	-269.219315	-224.010240
102	-307.230370	-275.553507
3267	-320.776472	-258.832620
609	-377.817369	-222.388698
2770	-288.588657	-238.282294
144	-271.323089	-279.575470
2229	-319.560814	-204.363482
1282	-346.860539	-285.547687
2128	-308.504896	-308.986118
2048	-235.699029	-223.407748
1729	-361.740062	-253.435230
2010	-323.385837	-336.115053
1105	-302.306944	-241.541941
2871	-308.460407	-276.322383
6	-345.687671	-308.401223
1519	-352.874613	-245.172928
1536	-324.492974	-303.955577
1486	-380.373644	-202.583045
3987	-324.506120	-269.253495
234	-308.467880	-285.478390
3899	-337.265273	-187.657234
1924	-340.591587	-254.011030
2500	-286.498235	-238.213368
2308	-324.460752	-284.811556
2396	-307.546144	-250.312086
2542	-326.951186	-272.659720
3980	-372.708066	-210.565774
217	-271.648392	-257.305798
2227	-356.712771	-235.349867
2774	-310.910631	-276.043706
1342	-361.712098	-195.630713
2801	-310.932716	-274.997559
313	-361.721849	-246.004930
3614	-288.627505	-299.145426
1614	-325.736331	-274.095843
3690	-346.829378	-264.821964
812	-308.509197	-284.432516
2262	-325.780603	-243.285863
3064	-326.983087	-254.956581
2170	-274.987123	-270.848752
25	-309.712046	-292.508987
248	-339.489875	-269.380093
3810	-372.726782	-200.756848
2309	-272.583285	-270.763236
1054	-323.427722	-249.485923
2239	-346.823312	-289.825324
56	-345.599154	-260.120328
828	-361.684892	-254.157079
3484	-341.890999	-276.184160
66	-337.302324	-186.270006
3659	-340.683837	-265.483595
256	-308.741915	-228.040804
2726	-324.475651	-312.293290
855	-271.614051	-254.452081
604	-320.777491	-261.158739
2423	-338.238743	-244.675063
2633	-324.627681	-283.875478
3206	-346.853173	-210.937884
3425	-324.547564	-310.342951
2498	-288.539500	-280.117688
326	-236.917664	-198.841096
