no_training:5	no_test:145file identifier	 training data
110	-346.869123
80	-392.672883
126	-274.991042
68	-286.519735
11	-356.688211

file identifier 	 test data 	 predicted
61	-308.462933	-162.068904
111	-344.470970	-263.680286
70	-346.874234	-351.408875
137	-287.440932	-204.263117
18	-309.719641	-364.346565
29	-344.425700	-253.621718
38	-309.736982	-365.141641
62	-309.677968	-366.720684
90	-327.017113	-149.830468
12	-377.816587	-241.202502
84	-345.610574	-140.038128
14	-302.238859	-207.318336
26	-301.359287	-408.007003
45	-266.615452	-197.653081
96	-375.359188	-103.590469
113	-360.478880	-356.381874
103	-291.024232	-161.203411
102	-307.230370	-276.182758
67	-172.006141	-244.289730
22	-324.575190	-160.332899
48	-304.689512	-161.201450
94	-362.955075	-125.531656
101	-324.507184	-177.597772
98	-303.553222	-276.135890
81	-318.390876	-411.948892
148	-345.629933	-120.044746
34	-306.355655	-377.648417
8	-272.545439	-377.166701
92	-301.343578	-410.898476
112	-340.648166	-272.484173
134	-308.516376	-144.776670
82	-309.701458	-362.037287
16	-273.806874	-174.796713
141	-287.734664	-162.470791
78	-270.472470	-180.873869
51	-283.168740	-132.623191
24	-345.608180	-122.514492
116	-346.831175	-351.893775
4	-270.439280	-174.475965
124	-271.621961	-176.910464
109	-158.340943	-260.053065
21	-278.059333	-100.705357
6	-345.687671	-130.287577
44	-309.735489	-364.907097
36	-344.382282	-241.184558
86	-190.624631	-176.672850
32	-287.509315	-180.998149
76	-325.685245	-145.817698
53	-285.330157	-181.963955
17	-345.612580	-128.034152
108	-345.614707	-129.013951
55	-335.683118	-163.420632
69	-265.441614	-386.522469
31	-359.310420	-402.486304
13	-360.526646	-355.796052
128	-303.785832	-154.679059
79	-324.605178	-163.849250
73	-233.293627	-205.555987
135	-301.341304	-411.470779
136	-343.240623	-168.042597
41	-345.649146	-127.263754
145	-310.929561	-139.837357
65	-312.125621	-254.951005
49	-396.507540	-390.714586
9	-344.468531	-245.833129
104	-360.574432	-353.039959
46	-372.766726	-135.564635
85	-272.550580	-375.470583
106	-362.952198	-127.077377
56	-345.599154	-125.094575
121	-361.711483	-154.715462
33	-264.504487	-204.767582
88	-345.655534	-129.382841
105	-309.727110	-365.812365
120	-323.345161	-387.052660
37	-381.587333	-229.930523
20	-270.370102	-167.512558
115	-356.682218	-352.018784
123	-269.263476	-381.420157
0	-351.615495	-403.814092
30	-325.717105	-136.623956
47	-247.225618	-411.479168
131	-345.603479	-125.945570
143	-302.355005	-206.033898
87	-490.834069	-336.601837
89	-249.259410	-297.274479
142	-307.594137	-157.514227
140	-309.676929	-366.950030
97	-286.495035	-290.986676
60	-382.768883	-111.453099
1	-360.499843	-362.621902
149	-380.415966	-147.156003
146	-377.813815	-253.131124
130	-274.988525	-274.320189
2	-324.551643	-147.175459
19	-309.720734	-364.230688
27	-324.573866	-154.136919
43	-319.572842	-371.941682
42	-376.564691	-142.761665
100	-361.702143	-143.910674
95	-351.666551	-404.659217
99	-336.813559	-251.304961
144	-271.323089	-184.084972
77	-348.062001	-124.130144
114	-361.772743	-129.467096
63	-287.377993	-156.128898
133	-271.642927	-170.017431
58	-304.683044	-161.236638
118	-352.905052	-357.190665
93	-340.615011	-242.125627
52	-345.627428	-117.519173
40	-344.338878	-240.284642
129	-308.512092	-150.850793
3	-346.838279	-349.805977
117	-211.295163	-395.512498
39	-340.687222	-263.286487
15	-288.542593	-165.401327
75	-381.566310	-240.991148
25	-309.712046	-364.217841
91	-275.011437	-271.714547
139	-338.257996	-142.166980
57	-345.635513	-116.741062
138	-362.875317	-128.019116
127	-322.216227	-411.932396
64	-362.945802	-122.780383
23	-304.679494	-165.955392
28	-324.630221	-149.820251
35	-343.197784	-200.969150
74	-310.918822	-142.806832
50	-357.934562	-133.758033
107	-307.580090	-164.004767
122	-339.419649	-190.117432
132	-308.469258	-160.529560
83	-344.434906	-254.296173
66	-337.302324	-93.564693
54	-195.186228	-339.950697
72	-325.720699	-141.661897
119	-327.012568	-144.301693
125	-228.992613	-169.437124
7	-309.722879	-364.051443
147	-345.615452	-125.756456
71	-346.864282	-346.976081
59	-248.430371	-383.634350
10	-344.512001	-247.325914
5	-351.628383	-404.621136
