no_training:5	no_test:145file identifier	 training data
13	-360.526646
51	-283.168740
96	-375.359188
74	-310.918822
20	-270.370102

file identifier 	 test data 	 predicted
97	-286.495035	-301.546310
52	-345.627428	-322.030006
71	-346.864282	-321.049336
128	-303.785832	-293.678402
54	-195.186228	-260.070927
73	-233.293627	-281.770982
138	-362.875317	-336.377322
2	-324.551643	-321.627430
106	-362.952198	-326.850139
117	-211.295163	-251.656496
64	-362.945802	-317.532646
77	-348.062001	-309.459312
144	-271.323089	-323.604772
83	-344.434906	-331.615104
129	-308.512092	-314.719031
140	-309.676929	-336.348793
34	-306.355655	-293.476556
149	-380.415966	-347.580586
127	-322.216227	-360.121258
40	-344.338878	-320.695808
133	-271.642927	-268.231018
11	-356.688211	-354.267598
22	-324.575190	-328.036001
137	-287.440932	-341.191520
38	-309.736982	-319.051167
0	-351.615495	-369.907226
130	-274.988525	-305.688800
19	-309.720734	-328.613706
60	-382.768883	-326.170538
67	-172.006141	-226.438070
43	-319.572842	-351.095577
145	-310.929561	-293.472024
1	-360.499843	-344.146371
114	-361.772743	-338.348307
62	-309.677968	-334.339696
102	-307.230370	-340.922947
141	-287.734664	-293.033214
31	-359.310420	-361.523039
86	-190.624631	-257.382580
69	-265.441614	-310.290262
92	-301.343578	-313.273475
119	-327.012568	-320.308626
109	-158.340943	-192.551656
99	-336.813559	-349.339666
123	-269.263476	-304.811715
115	-356.682218	-346.861258
148	-345.629933	-311.652913
107	-307.580090	-301.385489
18	-309.719641	-305.585627
29	-344.425700	-324.970494
110	-346.869123	-320.025754
121	-361.711483	-337.889219
122	-339.419649	-346.955135
126	-274.991042	-287.543629
87	-490.834069	-363.517634
93	-340.615011	-339.516800
49	-396.507540	-369.356030
53	-285.330157	-311.392336
63	-287.377993	-312.649690
50	-357.934562	-343.748681
27	-324.573866	-326.923099
65	-312.125621	-290.896176
57	-345.635513	-322.280869
91	-275.011437	-289.271697
82	-309.701458	-290.143103
5	-351.628383	-356.062331
72	-325.720699	-315.952337
35	-343.197784	-367.777701
132	-308.469258	-331.610092
112	-340.648166	-354.186458
4	-270.439280	-294.135555
37	-381.587333	-344.403459
124	-271.621961	-269.750393
78	-270.472470	-290.155621
30	-325.717105	-316.255431
118	-352.905052	-359.939801
142	-307.594137	-288.578827
105	-309.727110	-307.840921
42	-376.564691	-348.385494
26	-301.359287	-309.559301
14	-302.238859	-352.396557
32	-287.509315	-353.718189
68	-286.519735	-285.372140
6	-345.687671	-324.143045
10	-344.512001	-343.175098
95	-351.666551	-363.037855
46	-372.766726	-359.962803
59	-248.430371	-256.864435
88	-345.655534	-318.935979
41	-345.649146	-332.523573
139	-338.257996	-364.771955
47	-247.225618	-259.745451
135	-301.341304	-312.776698
136	-343.240623	-358.707641
70	-346.874234	-318.701038
76	-325.685245	-312.646539
108	-345.614707	-323.931231
7	-309.722879	-312.733953
98	-303.553222	-351.848757
9	-344.468531	-362.804472
21	-278.059333	-280.828799
116	-346.831175	-316.165783
79	-324.605178	-324.433903
61	-308.462933	-342.026866
104	-360.574432	-356.657195
146	-377.813815	-357.003211
84	-345.610574	-342.764964
103	-291.024232	-308.130195
39	-340.687222	-350.376913
131	-345.603479	-331.622007
17	-345.612580	-316.516421
147	-345.615452	-330.577014
134	-308.516376	-324.265800
125	-228.992613	-238.298932
23	-304.679494	-329.243671
12	-377.816587	-363.158659
66	-337.302324	-323.903918
28	-324.630221	-348.774849
33	-264.504487	-268.417434
81	-318.390876	-358.407264
56	-345.599154	-325.222882
89	-249.259410	-273.404699
120	-323.345161	-356.572469
45	-266.615452	-286.349426
80	-392.672883	-368.937770
111	-344.470970	-338.275506
143	-302.355005	-355.956439
8	-272.545439	-322.541891
44	-309.735489	-311.740479
3	-346.838279	-313.333057
90	-327.017113	-305.819100
25	-309.712046	-292.622327
85	-272.550580	-336.143984
94	-362.955075	-325.156378
101	-324.507184	-352.443921
58	-304.683044	-321.871002
113	-360.478880	-339.964910
24	-345.608180	-319.155424
55	-335.683118	-367.137297
100	-361.702143	-344.328874
15	-288.542593	-301.624773
36	-344.382282	-323.399516
16	-273.806874	-303.339728
75	-381.566310	-337.820797
48	-304.689512	-314.492397
