no_training:25	no_test:125file identifier	 training data
7	-309.722879
41	-345.649146
1	-360.499843
66	-337.302324
71	-346.864282
105	-309.727110
127	-322.216227
3	-346.838279
50	-357.934562
9	-344.468531
121	-361.711483
60	-382.768883
115	-356.682218
79	-324.605178
42	-376.564691
57	-345.635513
58	-304.683044
123	-269.263476
112	-340.648166
122	-339.419649
10	-344.512001
107	-307.580090
73	-233.293627
134	-308.516376
91	-275.011437

file identifier 	 test data 	 predicted
30	-325.717105	-309.770280
54	-195.186228	-225.233342
53	-285.330157	-259.478286
70	-346.874234	-356.742175
102	-307.230370	-305.317430
142	-307.594137	-267.770442
93	-340.615011	-330.876372
101	-324.507184	-370.477853
68	-286.519735	-259.207990
113	-360.478880	-357.880090
130	-274.988525	-313.771283
118	-352.905052	-336.976012
46	-372.766726	-353.594165
82	-309.701458	-305.339152
4	-270.439280	-244.660247
96	-375.359188	-390.179109
56	-345.599154	-353.480850
90	-327.017113	-318.934238
144	-271.323089	-231.592981
28	-324.630221	-325.662808
125	-228.992613	-309.352587
83	-344.434906	-339.221848
85	-272.550580	-348.504232
59	-248.430371	-238.397801
62	-309.677968	-330.322102
104	-360.574432	-347.351843
86	-190.624631	-342.187789
98	-303.553222	-323.412919
14	-302.238859	-295.752695
15	-288.542593	-275.292331
61	-308.462933	-321.394122
109	-158.340943	-167.464391
0	-351.615495	-378.522043
77	-348.062001	-363.402060
81	-318.390876	-324.835862
80	-392.672883	-372.636636
116	-346.831175	-329.994242
20	-270.370102	-257.842374
147	-345.615452	-342.346937
135	-301.341304	-309.720884
13	-360.526646	-376.692702
131	-345.603479	-369.841155
51	-283.168740	-331.108047
74	-310.918822	-332.948712
136	-343.240623	-330.326342
55	-335.683118	-355.614402
45	-266.615452	-252.720885
35	-343.197784	-380.490869
138	-362.875317	-364.195158
97	-286.495035	-311.398741
21	-278.059333	-337.443150
43	-319.572842	-336.046895
63	-287.377993	-269.209903
47	-247.225618	-255.169364
75	-381.566310	-365.494748
133	-271.642927	-240.423999
52	-345.627428	-337.395369
143	-302.355005	-297.990020
114	-361.772743	-331.291712
31	-359.310420	-384.578470
103	-291.024232	-341.109878
40	-344.338878	-296.068080
84	-345.610574	-332.541651
87	-490.834069	-475.491975
92	-301.343578	-305.105846
33	-264.504487	-277.200932
36	-344.382282	-341.130788
29	-344.425700	-313.737437
106	-362.952198	-322.957983
111	-344.470970	-347.608807
65	-312.125621	-306.261208
137	-287.440932	-273.876453
18	-309.719641	-327.578415
89	-249.259410	-242.321779
132	-308.469258	-355.708941
64	-362.945802	-357.205609
117	-211.295163	-217.571899
100	-361.702143	-371.169735
23	-304.679494	-295.316144
5	-351.628383	-377.860664
145	-310.929561	-267.902723
49	-396.507540	-386.809345
108	-345.614707	-338.794240
72	-325.720699	-305.446224
17	-345.612580	-329.536315
19	-309.720734	-310.471350
88	-345.655534	-330.003079
69	-265.441614	-265.334743
95	-351.666551	-377.205703
11	-356.688211	-366.174613
34	-306.355655	-256.161342
67	-172.006141	-242.384936
24	-345.608180	-334.582453
25	-309.712046	-319.032420
8	-272.545439	-253.880230
110	-346.869123	-339.572420
128	-303.785832	-237.442944
38	-309.736982	-336.745228
148	-345.629933	-330.571082
124	-271.621961	-234.382426
44	-309.735489	-300.042731
37	-381.587333	-389.580034
146	-377.813815	-374.969207
2	-324.551643	-315.265386
48	-304.689512	-262.259888
78	-270.472470	-248.159872
120	-323.345161	-322.068596
39	-340.687222	-333.544694
6	-345.687671	-333.648668
140	-309.676929	-338.847820
26	-301.359287	-287.713052
16	-273.806874	-294.693422
12	-377.816587	-400.481504
139	-338.257996	-342.145112
32	-287.509315	-319.789980
99	-336.813559	-317.470057
27	-324.573866	-331.755364
76	-325.685245	-309.515999
141	-287.734664	-289.595256
22	-324.575190	-325.255635
126	-274.991042	-286.604719
119	-327.012568	-355.438290
94	-362.955075	-362.858240
129	-308.512092	-289.378633
149	-380.415966	-381.231695
