no_training:25	no_test:125file identifier	 training data
147	-345.615452
143	-302.355005
96	-375.359188
118	-352.905052
41	-345.649146
90	-327.017113
73	-233.293627
144	-271.323089
132	-308.469258
34	-306.355655
102	-307.230370
51	-283.168740
61	-308.462933
60	-382.768883
37	-381.587333
98	-303.553222
124	-271.621961
138	-362.875317
36	-344.382282
42	-376.564691
114	-361.772743
1	-360.499843
50	-357.934562
2	-324.551643
134	-308.516376

file identifier 	 test data 	 predicted
9	-344.468531	-335.921441
110	-346.869123	-305.184863
67	-172.006141	-314.532441
87	-490.834069	-321.076639
140	-309.676929	-325.281680
30	-325.717105	-331.772664
126	-274.991042	-288.158344
31	-359.310420	-330.657293
6	-345.687671	-303.886448
55	-335.683118	-337.806219
11	-356.688211	-337.321250
83	-344.434906	-312.350049
14	-302.238859	-336.734127
39	-340.687222	-350.684330
125	-228.992613	-303.690199
148	-345.629933	-323.213241
119	-327.012568	-297.729634
92	-301.343578	-328.745645
74	-310.918822	-315.844149
57	-345.635513	-324.831605
135	-301.341304	-317.006923
81	-318.390876	-328.211547
120	-323.345161	-340.745647
56	-345.599154	-322.541945
130	-274.988525	-284.595190
35	-343.197784	-317.735223
108	-345.614707	-327.626190
12	-377.816587	-345.474260
80	-392.672883	-344.770548
75	-381.566310	-338.424711
115	-356.682218	-336.000056
71	-346.864282	-313.359936
8	-272.545439	-312.346373
107	-307.580090	-326.249523
59	-248.430371	-308.901184
13	-360.526646	-328.542993
53	-285.330157	-321.305208
91	-275.011437	-283.089594
38	-309.736982	-321.022810
133	-271.642927	-328.094165
99	-336.813559	-329.081184
105	-309.727110	-303.537771
65	-312.125621	-283.742700
97	-286.495035	-328.681998
137	-287.440932	-335.596595
28	-324.630221	-308.531101
16	-273.806874	-318.067900
69	-265.441614	-335.658673
25	-309.712046	-322.674760
21	-278.059333	-310.879530
129	-308.512092	-300.625033
121	-361.711483	-334.488971
45	-266.615452	-332.722786
85	-272.550580	-327.305919
29	-344.425700	-333.005770
101	-324.507184	-326.710823
94	-362.955075	-328.541992
86	-190.624631	-301.073711
47	-247.225618	-311.074653
149	-380.415966	-326.997874
54	-195.186228	-317.411789
49	-396.507540	-332.977892
103	-291.024232	-310.960501
20	-270.370102	-303.748979
111	-344.470970	-319.653461
72	-325.720699	-331.325146
24	-345.608180	-339.041203
128	-303.785832	-326.773158
88	-345.655534	-311.348733
64	-362.945802	-332.758809
58	-304.683044	-329.591076
77	-348.062001	-302.892141
15	-288.542593	-327.147792
27	-324.573866	-327.331630
32	-287.509315	-308.558044
93	-340.615011	-326.133751
0	-351.615495	-329.858277
19	-309.720734	-313.910163
26	-301.359287	-313.881931
95	-351.666551	-324.988394
3	-346.838279	-307.821193
40	-344.338878	-330.557522
52	-345.627428	-307.816429
106	-362.952198	-313.877147
76	-325.685245	-327.740144
109	-158.340943	-286.408743
46	-372.766726	-323.874682
78	-270.472470	-316.980345
100	-361.702143	-334.432359
84	-345.610574	-336.937660
127	-322.216227	-319.549683
5	-351.628383	-305.367272
141	-287.734664	-326.105822
4	-270.439280	-308.049227
122	-339.419649	-336.113603
22	-324.575190	-320.761610
145	-310.929561	-302.198862
10	-344.512001	-317.452859
62	-309.677968	-314.631675
136	-343.240623	-309.940312
89	-249.259410	-298.804524
44	-309.735489	-319.452096
131	-345.603479	-340.763025
66	-337.302324	-327.711402
112	-340.648166	-336.907727
116	-346.831175	-316.887096
68	-286.519735	-321.175399
63	-287.377993	-316.189372
70	-346.874234	-319.989623
48	-304.689512	-303.267316
104	-360.574432	-318.081778
79	-324.605178	-339.760148
117	-211.295163	-310.427427
139	-338.257996	-309.348424
43	-319.572842	-329.551162
7	-309.722879	-324.067822
113	-360.478880	-334.850348
123	-269.263476	-329.846318
82	-309.701458	-307.204727
18	-309.719641	-309.161286
17	-345.612580	-327.027121
142	-307.594137	-329.775409
146	-377.813815	-312.420946
23	-304.679494	-323.844939
33	-264.504487	-319.498914
