no_training:5	no_test:145file identifier	 training data
118	-352.905052
0	-351.615495
10	-344.512001
12	-377.816587
9	-344.468531

file identifier 	 test data 	 predicted
99	-336.813559	-340.647763
64	-362.945802	-329.226780
70	-346.874234	-319.027505
125	-228.992613	-346.295953
148	-345.629933	-326.231667
87	-490.834069	-344.701054
11	-356.688211	-340.356623
119	-327.012568	-309.694217
98	-303.553222	-329.444837
120	-323.345161	-343.738379
128	-303.785832	-337.605599
113	-360.478880	-337.543158
22	-324.575190	-331.973576
68	-286.519735	-335.543793
143	-302.355005	-334.996998
54	-195.186228	-339.084010
33	-264.504487	-345.296543
88	-345.655534	-324.644753
74	-310.918822	-301.588639
57	-345.635513	-327.810556
115	-356.682218	-336.839673
30	-325.717105	-321.694331
111	-344.470970	-334.919841
145	-310.929561	-300.683920
28	-324.630221	-328.537882
4	-270.439280	-332.829601
116	-346.831175	-311.896120
121	-361.711483	-338.708024
101	-324.507184	-335.382401
79	-324.605178	-335.270612
97	-286.495035	-345.321826
43	-319.572842	-340.402894
67	-172.006141	-340.420894
38	-309.736982	-316.770858
24	-345.608180	-326.329605
20	-270.370102	-331.796042
77	-348.062001	-306.270952
41	-345.649146	-329.014962
135	-301.341304	-336.678544
95	-351.666551	-341.596526
81	-318.390876	-339.341638
93	-340.615011	-339.436782
100	-361.702143	-339.822506
65	-312.125621	-286.163322
134	-308.516376	-319.763563
59	-248.430371	-343.786952
102	-307.230370	-335.863139
56	-345.599154	-328.915474
103	-291.024232	-293.471162
6	-345.687671	-324.590797
58	-304.683044	-331.033607
124	-271.621961	-323.601643
94	-362.955075	-326.476162
109	-158.340943	-333.490432
25	-309.712046	-311.123153
105	-309.727110	-310.728781
149	-380.415966	-340.684846
114	-361.772743	-332.095343
90	-327.017113	-307.449954
129	-308.512092	-323.010532
80	-392.672883	-341.577602
72	-325.720699	-318.760387
34	-306.355655	-339.534195
106	-362.952198	-323.794858
82	-309.701458	-309.523316
52	-345.627428	-323.003959
91	-275.011437	-281.615833
123	-269.263476	-336.399315
44	-309.735489	-312.877398
127	-322.216227	-334.131940
17	-345.612580	-328.165469
146	-377.813815	-341.144705
55	-335.683118	-338.622623
42	-376.564691	-345.727834
144	-271.323089	-325.107034
60	-382.768883	-329.417856
36	-344.382282	-334.586160
35	-343.197784	-345.337107
48	-304.689512	-324.826950
84	-345.610574	-339.407188
49	-396.507540	-337.609893
131	-345.603479	-330.416752
138	-362.875317	-326.147248
45	-266.615452	-339.981823
39	-340.687222	-341.106401
61	-308.462933	-330.951042
1	-360.499843	-346.504871
140	-309.676929	-321.664441
108	-345.614707	-324.939329
78	-270.472470	-334.548067
50	-357.934562	-334.517947
142	-307.594137	-333.424539
132	-308.469258	-325.850322
32	-287.509315	-326.690828
5	-351.628383	-344.842524
76	-325.685245	-317.799383
27	-324.573866	-333.958102
7	-309.722879	-319.181287
104	-360.574432	-341.275329
3	-346.838279	-316.948020
31	-359.310420	-337.733085
15	-288.542593	-314.578887
51	-283.168740	-344.463467
13	-360.526646	-339.708553
47	-247.225618	-341.644375
130	-274.988525	-285.883500
21	-278.059333	-335.832308
2	-324.551643	-329.417767
53	-285.330157	-338.730539
75	-381.566310	-340.675979
141	-287.734664	-335.606434
16	-273.806874	-297.583499
112	-340.648166	-341.499821
63	-287.377993	-321.866230
139	-338.257996	-337.261139
83	-344.434906	-335.476369
40	-344.338878	-336.795021
19	-309.720734	-311.466415
85	-272.550580	-313.216423
62	-309.677968	-324.411808
69	-265.441614	-339.346265
126	-274.991042	-281.749278
122	-339.419649	-340.592701
137	-287.440932	-338.039366
117	-211.295163	-341.429094
89	-249.259410	-332.008458
37	-381.587333	-345.302934
46	-372.766726	-337.235393
133	-271.642927	-325.637604
96	-375.359188	-336.731566
86	-190.624631	-340.005705
18	-309.719641	-309.813831
29	-344.425700	-337.489092
71	-346.864282	-316.516422
110	-346.869123	-315.924439
92	-301.343578	-339.237963
26	-301.359287	-340.017293
66	-337.302324	-340.021216
136	-343.240623	-334.968678
73	-233.293627	-327.913311
23	-304.679494	-328.571748
8	-272.545439	-313.831734
14	-302.238859	-338.199541
107	-307.580090	-341.649987
147	-345.615452	-328.691450
