no_training:10	no_test:3983file identifier	 training data
3812	-271.623066
1258	-344.472090
3371	-286.517424
883	-340.647778
61	-308.462933
365	-361.740208
1254	-325.753541
1225	-196.409349
2855	-268.917900
1775	-306.353871

file identifier 	 test data 	 predicted
3103	-340.631134	-342.505502
1320	-340.656628	-335.239151
2750	-268.301176	-262.981739
1537	-309.692993	-64.481300
2817	-340.641240	-342.167527
2157	-309.686797	-61.307099
1545	-308.468255	-273.062156
2970	-339.501361	-246.167362
2591	-325.773278	-310.513656
1817	-339.459612	-251.012096
2137	-324.588239	-364.387329
1466	-340.657975	-334.109144
766	-312.133805	-17.282049
354	-285.174014	-253.365369
112	-340.648166	-341.483912
1131	-324.580815	-354.068181
1062	-324.496997	-343.471961
3835	-309.693085	-59.781023
3119	-301.090914	-55.352783
3254	-287.469473	-345.782644
631	-371.449232	-35.816512
1953	-308.457242	-291.560980
1914	-288.576123	-285.783101
1025	-324.520219	-352.918461
1998	-324.536830	-361.608724
2595	-303.465315	-303.192511
2306	-287.354343	-344.631922
1521	-323.665247	-322.826116
2851	-356.699504	-292.856961
2918	-271.326117	-283.472347
2629	-356.679047	-294.150806
984	-248.443503	-293.012100
1083	-309.726295	-67.149058
2992	-343.202564	-249.314458
1859	-324.577613	-360.879977
1026	-325.765414	-320.272755
3932	-360.472117	-291.629755
2606	-323.344105	-322.839930
589	-340.604189	-328.891788
1331	-310.941319	-25.569957
565	-356.730212	-305.930600
1332	-209.144909	-59.371441
1119	-304.733360	-289.652812
1390	-340.660793	-333.179932
2683	-309.686061	-63.394042
688	-324.491475	-345.911669
1520	-309.728493	-70.492136
3005	-249.248680	-226.012892
1151	-392.620909	-78.821410
1080	-288.570006	-290.649805
271	-361.759779	-363.482458
1890	-371.608385	-41.933638
3448	-324.634377	-357.771379
2688	-284.964138	-123.684278
3171	-345.599912	-312.540642
601	-324.603558	-362.073574
530	-360.503506	-300.044510
1352	-304.677606	-307.660477
701	-265.396194	-308.022294
